created,text,retwc,hashtag,followers,friends,subjectivity,polarity
2021-09-20 16:47:59,"b'I am afraid of injections, but I\xe2\x80\x99ve never felt so relieved \xe2\x9c\xa8 Vaccines are important and needed! Be brave, you can d\xe2\x80\xa6 https://t.co/CnyI30hfAD'",206,None,16383,1829,0.9666666666666667,0.23333333333333336
2021-09-21 05:32:41,"b'BTS Speaks At UN About Covid-19 Vaccines, #ARMYvaccinatedtoo Trends On Twitter https://t.co/Bt7aVc8K6W https://t.co/R32IsegVHZ'",85,ARMYvaccinatedtoo,38290,69,0.0,0.0
2021-09-21 16:28:54,"b'\xf0\x9f\x87\xba\xf0\x9f\x87\xb3\xf0\x9f\x95\xbaKorean boy band superstars #BTS were invited to the #UN to perform their new song ""Permission to Dance""... but a\xe2\x80\xa6 https://t.co/fi0VoVTIYC'",136,BTS,303336,1128,0.45454545454545453,0.13636363636363635
2021-09-26 02:25:18,b'RT @MyTimeBTSArmy: Cooky approved!  #ARMYvaccinatedtoo #GotArmyRightBehindUs @BTS_twt @BTSCupsleeveUSA \xf0\x9f\x92\x9c https://t.co/iSq1W4q8mX',1,ARMYvaccinatedtoo,5298,2241,0.0,0.0
2021-09-26 02:24:34,b'RT @MyTimeBTSArmy: I think I need more pins! #ARMYvaccinatedtoo #GotArmyRightBehindUs @BTS_twt @bangtanboyspins @ilikecontryside  @_whenmoo\xe2\x80\xa6',2,ARMYvaccinatedtoo,5298,2241,0.5,0.625
2021-09-26 01:19:55,b'RT @luckylaxme36: Lets chase not only dreams but also the so called bad reality\xf0\x9f\x98\x8e\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\xf0\x9f\x92\xa5\n#earthquake #Cheating #ARMYvaccinatedtoo #Crypto #Vikra\xe2\x80\xa6',14,earthquake,11723,1188,0.8333333333333333,-0.3499999999999999
2021-09-25 23:26:47,"b""RT @armymedunion: Jin : We are all vaccinated &amp; we sympathize w people who fear vaccines bc it's something that didn't exist before. But I\xe2\x80\xa6""",119,None,360,1580,0.0,0.0
2021-09-25 20:23:47,b'RT @monkeybabie: Anyone in Hawaii that\xe2\x80\x99s an Army meet up at Kahala Mall for Hide &amp; Namseak to find joonie\xf0\x9f\xa5\xb0 come on down\xf0\x9f\x92\x9c #bts #btsarmy #ARM\xe2\x80\xa6',1,bts,36,295,0.0,0.0
2021-09-25 20:22:10,b'Anyone in Hawaii that\xe2\x80\x99s an Army meet up at Kahala Mall for Hide &amp; Namseak to find joonie\xf0\x9f\xa5\xb0 come on down\xf0\x9f\x92\x9c #bts\xe2\x80\xa6 https://t.co/lM1CFhsSlq',1,bts,897,2870,0.0,0.0
2021-09-25 20:05:14,b'QURAN: Revelations To Various PROPHETS\n#\xe8\xa1\x8c\xe5\x88\x97\xe3\x81\xae\xe3\x81\xa7\xe3\x81\x8d\xe3\x82\x8b\xe6\xb3\x95\xe5\xbe\x8b\xe7\x9b\xb8\xe8\xab\x87\xe6\x89\x80 #TOTCHE #yarg\xc4\xb1dizi #4toInformeEdomex #KenetlenGALATASARAYLI\xe2\x80\xa6 https://t.co/pUUvNjnK7w',0,行列のできる法律相談所,394,441,0.5,0.0
2021-09-25 19:52:43,b'RT @Buzz_Access: .#ARMYvaccinatedtoo trends as @bts_bighit ARMY shares their vaccination status after BTS announced that all seven members\xe2\x80\xa6',744,ARMYvaccinatedtoo,15,37,0.0,0.0
2021-09-25 18:11:47,b'RT @MyTimeBTSArmy: I think I need more pins! #ARMYvaccinatedtoo #GotArmyRightBehindUs @BTS_twt @bangtanboyspins @ilikecontryside  @_whenmoo\xe2\x80\xa6',2,ARMYvaccinatedtoo,3220,961,0.5,0.625
2021-09-25 18:03:30,b'I think I need more pins! #ARMYvaccinatedtoo #GotArmyRightBehindUs @BTS_twt @bangtanboyspins @ilikecontryside\xe2\x80\xa6 https://t.co/NEM7yugKm1',2,ARMYvaccinatedtoo,872,2306,0.5,0.625
2021-09-25 17:59:55,b'Cooky approved!  #ARMYvaccinatedtoo #GotArmyRightBehindUs @BTS_twt @BTSCupsleeveUSA \xf0\x9f\x92\x9c https://t.co/iSq1W4q8mX',1,ARMYvaccinatedtoo,872,2306,0.0,0.0
2021-09-25 16:38:54,b'RT @AcesG2d: Twitter is shaking right now #BTS_twt #BTSatUNGA #JungKook #KimTaehyung #GotARMYRightBehindYou #BTSPavedTheWay #ARMYvaccinated\xe2\x80\xa6',525,BTS_twt,348,852,0.5357142857142857,0.2857142857142857
2021-09-25 16:32:50,"b'@BTS_twt words on vaccinations. #RM, WWH #JIN and #JHOPE ~Hobi~\xf0\x9f\x8c\xbbespecially reminding #BTSARMY to get vaccinated so\xe2\x80\xa6 https://t.co/74OYjlptfF'",0,RM,162,257,0.0,0.0
2021-09-25 16:32:04,b'RT @AcesG2d: Twitter is shaking right now #BTS_twt #BTSatUNGA #JungKook #KimTaehyung #GotARMYRightBehindYou #BTSPavedTheWay #ARMYvaccinated\xe2\x80\xa6',525,BTS_twt,455,332,0.5357142857142857,0.2857142857142857
2021-09-25 15:45:56,b'RT @AcesG2d: Twitter is shaking right now #BTS_twt #BTSatUNGA #JungKook #KimTaehyung #GotARMYRightBehindYou #BTSPavedTheWay #ARMYvaccinated\xe2\x80\xa6',525,BTS_twt,4029,4852,0.5357142857142857,0.2857142857142857
2021-09-25 15:33:28,b'@BTSupdate_7 @BTS_twt We could start by all getting vaccinated along with our families! \xf0\x9f\x92\x9c#ARMYvaccinatedtoo #BTSxCOLDPLAY #BTS',0,ARMYvaccinatedtoo,0,21,0.0,0.0
2021-09-25 15:02:27,"b'btw,im vaccinated bitches! finally i can use #ARMYvaccinatedtoo https://t.co/b96BVMYulb'",0,ARMYvaccinatedtoo,26,39,1.0,0.0
2021-09-25 14:58:30,"b""got my 2nd dose now and therefore i'm finally, FULLY VACCINATED\xf0\x9f\x92\x89\xf0\x9f\x92\x9c\n#ARMYVaccinatedToo \xf0\x9f\xa5\xb3 https://t.co/8pWC4GXKxX https://t.co/R6P75cp4RI""",0,ARMYVaccinatedToo,558,582,0.5,0.0
2021-09-25 14:41:10,"b""RT @armymedunion: Jin : We are all vaccinated &amp; we sympathize w people who fear vaccines bc it's something that didn't exist before. But I\xe2\x80\xa6""",119,None,61,506,0.0,0.0
2021-09-25 14:35:19,"b""RT @armymedunion: Jin : We are all vaccinated &amp; we sympathize w people who fear vaccines bc it's something that didn't exist before. But I\xe2\x80\xa6""",119,None,165,375,0.0,0.0
2021-09-25 14:02:11,"b""RT @armymedunion: Jin : We are all vaccinated &amp; we sympathize w people who fear vaccines bc it's something that didn't exist before. But I\xe2\x80\xa6""",119,None,25,213,0.0,0.0
