created,text,retwc,hashtag,followers,friends,subjectivity,polarity
2021-10-07 15:48:03,"b'3 new billionaires \xe2\x9e\xa1\xef\xb8\x8f @moderna_tx founders\xe2\x80\x94but they refuse to sell their vaccine at cost, even though taxpayers hel\xe2\x80\xa6 https://t.co/HqbHRyG82g'",276,None,594935,9506,0.45454545454545453,0.13636363636363635
2021-10-07 16:39:18,b'\xf0\x9f\x93\xa3 ANNOUNCEMENT \xf0\x9f\x93\xa3 The UK will now recognise vaccine certificates issued in Ghana for Ghanaian\xe2\x80\x99s fully-vaccinated wit\xe2\x80\xa6 https://t.co/PKhaUBc1v1',176,None,51729,1314,0.0,0.0
2021-10-08 03:39:58,"b'Vaccine arrivals today \xf0\x9f\x92\x89\n\n- 2,132,140 doses of MODERNA (1,384,280 doses for the national government and 747,860 dos\xe2\x80\xa6 https://t.co/cHbnqPTBrB'",82,None,48124,243,0.0,0.0
2021-10-09 04:00:04,b'@calder12 @KyleMcCartan @LeafsLindsay In the last 4 months governments around the world have first stopped using As\xe2\x80\xa6 https://t.co/KMGge7PVLf',0,None,340,407,0.19999999999999998,0.125
2021-10-09 04:00:01,b'I took my first jab of @astrazeneca yesterday it was hell\xf0\x9f\xa4\x92',0,None,69,257,0.3333333333333333,0.25
2021-10-09 04:00:00,b'How else can we support our brilliant Oxford-AstraZeneca scientists?',0,None,3,0,1.0,0.9
2021-10-09 03:59:49,"b'RT @BellRibeiroAddy: The AstraZeneca vaccine, praised by Boris Johnson in his speech, was 97% publicly funded.\n\nWe got vaccines in under a\xe2\x80\xa6'",10945,None,174,122,0.06666666666666667,0.0
2021-10-09 03:59:36,b'@peachesandpatch @SMcQn @jaadro1 AstraZeneca or moderna a are the best',0,None,1,13,0.3,1.0
2021-10-09 03:59:17,b'RT @DrJohnB2: A 42-year-old woman\n- Visual impairment &amp; severe headache 9 days after the 1st dose of te #CovidVaccine (Astrazeneca)\n- 2 day\xe2\x80\xa6',199,CovidVaccine,569,1821,0.0,0.0
2021-10-09 03:59:14,"b'@thehill Comparing vaccines:\ncountry of origin,\nsafety,\ndoses, \nprice,\nefficacy, and approval. \n\nPfizer, Johnson &amp;\xe2\x80\xa6 https://t.co/Aa7izqKbkQ'",0,None,275,181,0.0,0.0
2021-10-09 03:59:11,"b'RT @dbRaevn: Over the next seven days, there are more than 52,500 first-dose vaccination appointments available through Victoria\xe2\x80\x99s vaccinat\xe2\x80\xa6'",61,None,440,756,0.3,0.3
2021-10-09 03:59:01,"b'RT @ntfcovid19ph: PH gets 2.8-M doses of procured Moderna, AstraZeneca vaccines\n\nThe Philippines on Friday, October 8, received a total of\xe2\x80\xa6'",18,None,69,279,0.75,0.0
2021-10-09 03:58:43,"b'RT @citizentvkenya: Kenya receives 860,000 doses of AstraZeneca Covid-19 vaccine https://t.co/JgZE0HK6yN https://t.co/UI2TUk3Iqn'",1,None,199,1609,0.0,0.0
2021-10-09 03:58:28,"b""@paulscollins @EveExamines @kprather88 @DFisman You're right.\nVector (usually AstraZeneca) and then - after a delay\xe2\x80\xa6 https://t.co/R51O93YhOY""",0,None,223,840,0.25,-0.25
2021-10-09 03:57:35,"b'RT @dbRaevn: Over the next seven days, there are more than 52,500 first-dose vaccination appointments available through Victoria\xe2\x80\x99s vaccinat\xe2\x80\xa6'",61,None,111,328,0.3,0.3
2021-10-09 03:57:01,b'@kirpputar @ir_rkp @kokoomus @keskusta @Demarit @vasemmisto @vihreat @persut @sfprkp @KDpuolue #Kyriakides #Pfizer\xe2\x80\xa6 https://t.co/3YHyS30C64',0,Kyriakides,918,729,0.0,0.0
2021-10-09 03:56:59,"b'RT @dbRaevn: Over the next seven days, there are more than 52,500 first-dose vaccination appointments available through Victoria\xe2\x80\x99s vaccinat\xe2\x80\xa6'",61,None,916,1063,0.3,0.3
2021-10-09 03:56:35,"b'RT @calmecam: Canada quietly distributed 3/4 of a million doses of AstraZeneca to Trinidad and Tobago, St Vincent and the Grenadines, Jamai\xe2\x80\xa6'",287,None,378,1014,0.3333333333333333,0.0
2021-10-09 03:56:01,b'RT @wcchen: U.S. will accept WHO-approved COVID-19 vaccines for international visitors. AstraZeneca and other non-US vaccines good to go.\nh\xe2\x80\xa6',16,None,1624,773,0.325,0.19166666666666665
2021-10-09 03:55:45,"b'The UK was already contemplating whether mixing vaccines (Pfizer + AstraZeneca particularly) could actually improve immune response, so...'",0,None,467,723,0.21666666666666667,0.08333333333333333
2021-10-09 03:55:01,"b'@CNN COVID-19 vaccines profits in 2021\n\nPfizer, Johnson &amp; Johnson, Moderna, AstraZeneca\nhttps://t.co/q24CVpe0xs'",0,None,275,181,0.0,0.0
2021-10-09 03:54:32,b'@DebLudwin @DrJohnB2 India is using the AstraZeneca vaccine heavily which has a known rare adverse effect of blood\xe2\x80\xa6 https://t.co/I1s1yLN7ki',0,None,1012,933,0.7,0.04999999999999999
2021-10-09 03:54:20,"b'RT @SciNate: Just decided to bring my 2nd #AstraZeneca dose forward, and now I have a booking at a state hub within the hour. It really cou\xe2\x80\xa6'",61,AstraZeneca,1531,1444,0.1,0.1
2021-10-09 03:53:59,b'RT @wcchen: U.S. will accept WHO-approved COVID-19 vaccines for international visitors. AstraZeneca and other non-US vaccines good to go.\nh\xe2\x80\xa6',16,None,670,380,0.325,0.19166666666666665
2021-10-09 03:53:32,"b'RT @DrJohnB2: 48-year-old man \n- 13 days after receiving the 1st dose of the #CovidVaccine (AstraZeneca): haematuria (blood in the urine),\xe2\x80\xa6'",191,CovidVaccine,320,187,0.0,0.0
2021-10-09 03:53:02,"b'In our latest issue, The ASEAN talks to Indonesian scientist Carina Joe, who was involved in the development of the\xe2\x80\xa6 https://t.co/EhPcTRHzFt'",0,None,403,31,0.9,0.5
2021-10-09 03:52:39,b'covid - 19-vaccination-radio-astrazeneca-is-available-in-pharmacies-across-australia',0,None,34,19,0.0,0.0
2021-10-09 03:52:18,b'RT @theserhajm: Here are the vaccination sites for this Saturday and Sunday in the parish of St Catherine. Astrazeneca and Johnson &amp; Johnso\xe2\x80\xa6',11,None,71,300,0.0,0.0
2021-10-09 03:52:15,b'@UG_confesses Is Astrazeneca a joke to you?',0,None,858,1193,0.0,0.0
2021-10-09 03:52:11,b'RT @theserhajm: Here are the vaccination sites for this Saturday and Sunday in the parish of St.Thomas. Astrazeneca and Johnson &amp; Johnson a\xe2\x80\xa6',7,None,71,300,0.0,0.0
2021-10-09 03:51:51,b'Western Australia disgracefully isolated! @MarkMcGowanMP note!\nRisk of death due to TTS from receiving the AstraZen\xe2\x80\xa6 https://t.co/o9HCZckB5j',0,None,170,646,0.1875,-0.0625
2021-10-09 03:51:27,"b'RT @DrJohnB2: 48-year-old man \n- 13 days after receiving the 1st dose of the #CovidVaccine (AstraZeneca): haematuria (blood in the urine),\xe2\x80\xa6'",191,CovidVaccine,1336,270,0.0,0.0
2021-10-09 03:51:26,"b'COVID-19: NPHCDA receives 501,600 AstraZeneca\xc2\xa0vaccines https://t.co/gRtBfGhdNh'",0,None,465,7,0.0,0.0
2021-10-09 03:51:13,"b'@cynthiamckinney They claim for fighting known pandemic threats, and the unknown threats of the future the deal is\xe2\x80\xa6 https://t.co/QpZDvQ6mzF'",0,None,252,961,0.3625,-0.05
2021-10-09 03:50:45,"b'RT @BellRibeiroAddy: The AstraZeneca vaccine, praised by Boris Johnson in his speech, was 97% publicly funded.\n\nWe got vaccines in under a\xe2\x80\xa6'",10945,None,84,636,0.06666666666666667,0.0
2021-10-09 03:50:34,b'RT @DrJohnB2: A 42-year-old woman\n- Visual impairment &amp; severe headache 9 days after the 1st dose of te #CovidVaccine (Astrazeneca)\n- 2 day\xe2\x80\xa6',199,CovidVaccine,1336,270,0.0,0.0
2021-10-09 03:50:12,"b'RT @calmecam: Canada quietly distributed 3/4 of a million doses of AstraZeneca to Trinidad and Tobago, St Vincent and the Grenadines, Jamai\xe2\x80\xa6'",287,None,152,249,0.3333333333333333,0.0
2021-10-09 03:50:00,"b'@nmsuganda: @GovUganda has received 5,690,363 doses of #COVID19 vaccines comprising of; AstraZeneca, Sinovac, Moder\xe2\x80\xa6 https://t.co/QZl7hW7FF4'",0,COVID19,113209,1170,0.0,0.0
2021-10-09 03:49:17,b'RT @wcchen: U.S. will accept WHO-approved COVID-19 vaccines for international visitors. AstraZeneca and other non-US vaccines good to go.\nh\xe2\x80\xa6',16,None,1360,1364,0.325,0.19166666666666665
2021-10-09 03:49:12,b'RT @Kirky861: @MacLeodLisa @AstraZeneca .@TuckerCarlson \n\nIn the past four months the US government has recorded more deaths after receivin\xe2\x80\xa6',15,None,1005,141,0.375,0.125
2021-10-09 03:48:21,b'RT @wcchen: U.S. will accept WHO-approved COVID-19 vaccines for international visitors. AstraZeneca and other non-US vaccines good to go.\nh\xe2\x80\xa6',16,None,211,107,0.325,0.19166666666666665
