created,text,retwc,hashtag,followers,friends,subjectivity,polarity
2021-10-08 13:23:12,b'Why did DARPA bail out Moderna in 2013 with a $25 million grant?',2462,None,432278,8428,0.0,0.0
2021-10-08 17:35:03,b'Several Nordic Countries Pause Moderna Vaccine In Young People Over Link To Heart Inflammation\xe2\x80\xa6 https://t.co/za0zjmEoMl',694,None,674592,3001,0.2,0.05
2021-10-08 21:39:25,b'Supposedly Moderna is a private company that just \xe2\x80\x9cgot lucky\xe2\x80\x9d with experimental vaccines but @DARPA tells you: it\xe2\x80\x99s\xe2\x80\xa6 https://t.co/AMtaX0fcRY',718,None,432278,8428,0.3875,0.05
2021-10-09 03:57:55,"b'RT @AndySwan: ICELAND COMPLETELY HALTS USE OF MODERNA VAX IN ALL DEMOGRAPHICS, CITING RISK TO HEART'",538,None,154,168,0.4,0.1
2021-10-09 03:57:54,b'RT @worldnetdaily: Moderna COVID shot halted for all ages in Iceland https://t.co/wrap3K3ffz',47,None,7587,8150,0.0,0.0
2021-10-09 03:57:52,b'RT @MaxBlumenthal: Looks like Moderna\xe2\x80\x99s founders reached the Forbes rich list just in time https://t.co/xuNa93CPn1 https://t.co/WikwIkv4jt',149,None,182,765,0.75,0.375
2021-10-09 03:57:51,"b""Heart inflammation risk from mRNA shots: Here's how countries are responding https://t.co/W1ESJox1Dg""",0,None,26,0,0.0,0.0
2021-10-09 03:57:46,"b'RT @JeanmarcBenoit: VAERS. 13, male. Death 3 days post Moderna vaccine https://t.co/qxcTNua4r4'",31,None,41,124,0.1,0.0
2021-10-09 03:57:45,"b'RT @sarahbeth345: Iceland joins other Scandinavian countries and completely halts Moderna vax\xe2\x80\x94 not just for teens, but for everyone \xe2\x80\x94 due t\xe2\x80\xa6'",118,None,156,272,0.3833333333333333,-0.049999999999999996
2021-10-09 03:57:43,b'RT @ChuckCallesto: BREAKING REPORT: Sweden and Denmark PAUSING MODERNA VACCIANTIONS in younger age groups due to reported side effects - TH\xe2\x80\xa6',1067,None,1352,1055,0.1875,-0.0625
2021-10-09 03:57:35,"b'RT @dbRaevn: Over the next seven days, there are more than 52,500 first-dose vaccination appointments available through Victoria\xe2\x80\x99s vaccinat\xe2\x80\xa6'",60,None,111,328,0.3,0.3
