created,text,retwc,hashtag,followers,friends,subjectivity,polarity
2021-09-20 14:08:24,"b'Pfizer is going to make an estimated $35-40 billion off of its mRNA shots this year. Moderna, which has never rolle\xe2\x80\xa6 https://t.co/650lalNpU4'",10903,None,141700,992,0.0,0.0
2021-09-20 16:15:40,b'Pfizer Assures That Vaccine Is Almost As Safe For Kids As COVID https://t.co/b0iNmjILtg',3074,None,1076188,69,0.5,0.5
2021-09-20 11:30:33,b'NEW: Pfizer says early results of its trials show that its COVID vaccine is safe and effective for children ages 5\xe2\x80\xa6 https://t.co/i3qAXrcpBQ',1961,None,8762445,68371,0.5136363636363637,0.3340909090909091
2021-09-20 10:58:43,b'Pfizer is now saying that their COVID-19 vaccine is safe for children 5-11 years old and will seek emergency FDA au\xe2\x80\xa6 https://t.co/wheeTPBklK',3786,None,356340,3887,0.35,0.3
2021-09-20 10:50:51,"b'JUST IN: Covid-19 vaccine for 5- to 11-year-olds is safe and shows \xe2\x80\x9crobust\xe2\x80\x9d antibody response, Pfizer says'",3117,None,199907,4107,0.5,0.5
2021-09-21 10:45:17,"b""\xf0\x9f\x93\x8dBREAKING\xe2\x80\x94At last\xe2\x80\x94new data on 2-doses of Johnson &amp; Johnson's #vaccine (doses 56 days apart) is 94% effective agains\xe2\x80\xa6 https://t.co/t6fAy59Vnl""",1979,vaccine,591532,9353,0.8,0.6
2021-09-20 12:00:13,"b'Pfizer\xe2\x80\x99s coronavirus vaccine is safe and highly effective in young children aged 5 to 11, the company said. If FDA\xe2\x80\xa6 https://t.co/CEqKhjkjwk'",941,None,50530887,850,0.525,0.275
2021-09-20 14:50:37,b'Sooo... what exactly did Pfizer mean when they said their vaccine was 95% effective against COVID-19?',1716,None,316957,37424,0.5791666666666667,0.17916666666666667
2021-09-20 11:26:40,b'BREAKING\xe2\x80\x94lower dose of the Pfizer-BioNTech #COVID19 vaccine \xe2\x80\x94 one-third the amount given to adults and teens \xe2\x80\x94 is s\xe2\x80\xa6 https://t.co/qzVN6PGEva',1767,COVID19,591532,9353,0.0,0.0
2021-09-20 10:48:55,b'BREAKING: Pfizer says its COVID-19 vaccine works for kids ages 5 to 11; plans to seek authorization for this age gr\xe2\x80\xa6 https://t.co/MQcWsfXrVy',2071,None,15312973,6855,0.0,0.0
